日期,代码,名称,所属行业,开盘价,最高价,最低价,收盘价,前收盘价,成交量（股）,成交额（元）,换手率,涨幅%,振幅%,是否ST,量比,3日涨幅%,6日涨幅%,10日涨幅%,25日涨幅%,是否涨停,总股本（股）,流通股本（股）,总市值（元）,流通市值（元）,滚动市盈率,市净率,滚动市销率,5日线,10日线,20日线,30日线,60日线,120日线,250日线,上市时间,退市时间
2007-08-10,2148,北纬科技,通信服务,6.598901830282862,6.788870216306157,5.869023294509152,6.178971713810316,5.869023294509152,6622958,40923070.14,65.7039,,,否,,,,,,否,50400000,10080000,311420174.38,62284034.88,,,,1.24,0.62,0.31,0.21,0.1,0.05,0.02,2007-08-10,-
2007-08-13,2148,北纬科技,通信服务,5.799034941763727,6.018998336106489,5.64905990016639,5.719048252911814,5.64905990016639,2902284,16598302.24,28.7925,,,否,,,,,,否,50400000,10080000,288240031.95,57648006.39,,,,2.38,1.19,0.6,0.4,0.2,0.1,0.05,2007-08-10,-
2007-08-14,2148,北纬科技,通信服务,5.559074875207987,6.009,5.559074875207987,5.909016638935109,5.559074875207987,1835485,10845911.41,18.2092,,,否,,,,,,否,50400000,10080000,297814438.6,59562887.72,,,,3.56,1.78,0.89,0.59,0.3,0.15,0.07,2007-08-10,-
2007-08-15,2148,北纬科技,通信服务,5.839028286189684,6.198968386023295,5.6990515806988356,5.989003327787022,5.6990515806988356,1912607,11454609.69,18.9743,,,否,,,,,,否,50400000,10080000,301845767.72,60369153.54,,,,4.76,2.38,1.19,0.79,0.4,0.2,0.1,2007-08-10,-
2007-08-16,2148,北纬科技,通信服务,5.829029950083195,5.839028286189684,5.559074875207987,5.6590582362728785,5.559074875207987,1639114,9275841.58,16.2611,,,否,,,,,,否,50400000,10080000,285216535.11,57043307.02,,,,5.89,2.95,1.47,0.98,0.49,0.25,0.12,2007-08-10,-
2007-08-17,2148,北纬科技,通信服务,5.559074875207987,5.64905990016639,5.27912146422629,5.299118136439268,5.27912146422629,1510208,8002770.6,14.9822,,,否,,,,,,否,50400000,10080000,267075554.08,53415110.82,,,,5.72,3.48,1.74,1.16,0.58,0.29,0.14,2007-08-10,-
2007-08-20,2148,北纬科技,通信服务,5.319114808652246,5.4390948419301175,5.189136439267887,5.329113144758736,5.189136439267887,819922,4369457.11,8.1341,,,否,,,,,,否,50400000,10080000,268587302.5,53717460.5,,,,5.64,4.01,2.0,1.34,0.67,0.33,0.16,2007-08-10,-
2007-08-21,2148,北纬科技,通信服务,5.369106489184692,5.449093178036606,5.27912146422629,5.289119800332779,5.27912146422629,696443,3683570.46,6.9092,,,否,,,,,,否,50400000,10080000,266571637.94,53314327.59,,,,5.51,4.54,2.27,1.51,0.76,0.38,0.18,2007-08-10,-
2007-08-22,2148,北纬科技,通信服务,5.199134775374376,5.299118136439268,5.189136439267887,5.239128119800333,5.189136439267887,922562,4833420.52,9.1524,,,否,,,,,,否,50400000,10080000,264052057.24,52810411.45,,,,5.36,5.06,2.53,1.69,0.84,0.42,0.2,2007-08-10,-
2007-08-23,2148,北纬科技,通信服务,5.209133111480865,5.259124792013311,5.069156405990017,5.109149750415974,5.069156405990017,1010231,5161421.46,10.0221,,,否,,,,,,否,50400000,10080000,257501147.42,51500229.48,,,,5.25,5.57,2.79,1.86,0.93,0.46,0.22,2007-08-10,-
2007-08-24,2148,北纬科技,通信服务,5.0991514143094845,5.169139767054909,5.039161397670549,5.139144758735441,5.039161397670549,555730,2855976.92,5.5132,,,否,,,,,,否,50400000,10080000,259012895.84,51802579.17,,,,5.22,5.47,3.04,2.03,1.01,0.51,0.24,2007-08-10,-
2007-08-27,2148,北纬科技,通信服务,5.089153078202995,5.15914143094842,4.989169717138104,5.01916472545757,4.989169717138104,610698,3065193.86,6.0585,,,否,,,,,,否,50400000,10080000,252965902.16,50593180.43,,,,5.16,5.4,3.29,2.2,1.1,0.55,0.26,2007-08-10,-
2007-08-28,2148,北纬科技,通信服务,4.999168053244593,5.139144758735441,4.819198003327788,5.119148086522463,4.819198003327788,730700,3740561.51,7.249,,,否,,,,,,否,50400000,10080000,258005063.56,51601012.71,,,,5.13,5.32,3.55,2.37,1.18,0.59,0.28,2007-08-10,-
2007-08-29,2148,北纬科技,通信服务,5.089153078202995,5.219131447587355,4.999168053244593,5.15914143094842,4.999168053244593,782376,4036388.44,7.7617,,,否,,,,,,否,50400000,10080000,260020728.12,52004145.62,,,,5.11,5.24,3.81,2.54,1.27,0.63,0.3,2007-08-10,-
2007-08-30,2148,北纬科技,通信服务,5.169139767054909,5.229129783693844,5.069156405990017,5.0991514143094845,5.069156405990017,430245,2193884.4,4.2683,,,否,,,,,,否,50400000,10080000,256997231.28,51399446.26,,,,5.11,5.18,4.06,2.71,1.35,0.68,0.33,2007-08-10,-
2007-08-31,2148,北纬科技,通信服务,5.119148086522463,5.27912146422629,5.089153078202995,5.179138103161398,5.089153078202995,473400,2451803.98,4.6964,,,否,,,,,,否,50400000,10080000,261028560.4,52205712.08,,,,5.12,5.17,4.32,2.88,1.44,0.72,0.35,2007-08-10,-
2007-09-03,2148,北纬科技,通信服务,5.199134775374376,5.229129783693844,5.089153078202995,5.0991514143094845,5.089153078202995,533464,2720213.71,5.2923,,,否,,,,,,否,50400000,10080000,256997231.28,51399446.26,,,,5.13,5.15,4.58,3.05,1.53,0.76,0.37,2007-08-10,-
